category,topic
WHOSE LATE NIGHT SKIT,
D.I.Y.,
6-LETTER ELEMENTS,
DURIG CHOCOLATIER,
BLUE STATES,
THE ENGLISH CIVIL WARS,
READING BY THE NUMBERS,
THE FILM WITHIN THE FILM,
THE COUNTRY'S MAJOR RELIGION,
"LET'S GO ON ""TUR""",
KICKING AROUND FOR A WHILE,
WORLD'S FAIRS,
EXTREME GEOGRAPHY,
MYSTERY MEAT,
ENDS IN DOUBLE L,
WASHINGTON MATH,
DIARIES & JOURNALS,
GOT A LITTLE CATEGORY HERE,
CAPE TOWN LADIES,
SING THAT SONG,
"""DOO-"" ""-DAH""",
PLANTS,
ROCK LYRICS,
SAUCES,
WEATHER,
THE 1830s,
FAMOUS MILTONS,
WOMEN NOVELISTS,
SUPREME COURT JUSTICES,
LATIN WORDS & PHRASES,
U.S. AIRPORTS,
SUMMER FUN,
MOVIE TITLE OVERLAPS,
"SHAKESPEARE--ACT II, SCENE 1",
BODY PARTS,
"GO ""C"" THE COUNTRY",
WORDS OF WONDER,
AMERICAN LIVES,
ISLAND NAMES,
"ADDEND""UM""",
COLLEGES WITH MASS. APPEAL,
WORDS OF STEVIE WONDER,
THE ENVIRONMENT,
ROCK GROUP NAMES,
AN OGDEN NASH MENAGERIE,
HELLO!,
"GOOD ""BI""",
LAB TEST,
_____ OF THE _____,
PARLEZ-VOUS FRAN&Ccedil;AIS?,
RIVERS ON THE BORDER,
MOVIE NARRATORS,
1950s FICTION,
HISTORIC NICKNAMES,
COFFEE BREAK,
"NUMBER, PLEASE",
THE 20th CENTURY,
MAYORS,
HONEY,
THE 50 STATES,
TENNIS THE MENACE,
TV LOGOS,
THE ORIGINAL 31 FLAVORS,
"4-LETTER ""V""ORDS",
A CONNECTICUT YANKEE,
IN KING ARTHUR'S COURT,
LITERARY MOUNTAIN CLIMBING,
BOTTOM FEEDERS,
CONTAIN YOURSELF,
TITLE ROLE PLAYING,
"AN ""F"" IN HISTORY",
20th CENTURY MUSIC,
WHAT AN ICE PARTY,
TIME'S 50 WORST CARS OF ALL TIME,
COUNTRIES' LOWEST POINTS,
ANIMAL CARE,
HERE'S JOHNNY!,
BEACH READING,
"OH, CANADA",
FEEL NOT-SO-GOOD MOVIES,
BILLIONS OF PEOPLE,
"SO ""CAL""",
VIDEO GAME HISTORY,
1983--30 YEARS AGO,
NATURAL WONDERS,
VWLLSS,
OTHER JULY OBSERVANCES,
HIGH,
"""MIGHTY""",
BOOKS' BEGINNINGS,
50 SHADES OF GRAHAM,
TREES,
FROM A TO E,
TV TITLE GUYS & GALS,
IT'S CHOPPER ALEX WITH TRAFFIC,
CHIEF JUSTICES OF THE U.S.,
"LEND AN ""EAR""",
WRITERS' HOBBIES,
WHO'S YOUR CADDIE?,
PUSH & PULL,
¡HOLA TEQUILA!,
ANIMAL IDENTITY,
ADJECTIVES,
MEDITERRANEAN ISLANDS,
ALSO A 4-LETTER BAND,
"PLANES, TRAINS",
AUTOBIOGRAPHIES,
THE WORLD OF TV,
CARTOONS,
EXPLORERS,
TRIPLE TALK,
THE THEATRE,
THE BEATLES,
LAWS & RULES,
MOVIE TRIVIA,
FRUITS,
NUCLEAR PHYSICS,
"ON A ""WIM""",
"THAT'S SOME ""TUDE""!",
BUSINESS HISTORIES,
CROSSING THE PARTY LINE,
BABY REGISTRY ITEMS,
LONG MOVIE TITLES,
MEDICAL HISTORY,
"2 WORDS, 12 TOTAL LETTERS",
A CROSS TO BEAR,
BALLPARK TOWNS,
THE CHARACTER'S NAME HAS BEEN CHANGED,
TO PROTECT THE INNOCENT,
HISTORIC TELEGRAMS,
BORN ON THE 24th OF JULY,
NAIL POLISH COLORS,
COASTAL U.S. STATES,
SPORTS ON FILM,
RECENTLY UNEARTHED CIVIL WAR LETTERS?,
FILL IN THE NONFICTION BLANK,
COINS OF OUR REALM,
MAKE IT A DOUBLE-LETTER WORD,
"""AMERICAN"" ENTERTAINMENT",
I READ IT IN THE NEW YORK TIMES,
3-NAMED PEOPLE,
RENTERS,
"""ONER""S",
WHO'S ON TOUR?,
COUNTRIES BY AIRPORTS,
JOHN TYLER,
AMERICA'S CUP RACING,
WRITERS IN WARTIME,
QUOTED IN BARTLETT'S,
FANTASTIC 4,
JAPANESE HISTORY,
SAME FIRST & LAST LETTER,
CLASSICAL MUSICIANS,
"THIS CATEGORY HAS ""IZE""",
WHAT'S FOR BREAKFAST?,
LET'S PLAY A GAME,
CAPITAL MAP IT ALL,
PEAKS & VALLEYS,
YOU DO THE MATH,
LET ME ENTERTAIN YOU,
AFTER-SCHOOL ACTIVITIES,
MOVIES,
"""G"" WHIZ",
NURSERY RHYME THINGS,
IF ONLY I COULD TELL THEM,
AROUND THE BODY,
8-LETTER WORDS,
THE ORCHESTRA,
GROWNUPS ON TV,
WHO WROTE THAT BOOK?,
THE REVOLUTIONARY WAR,
BEAUTY QUEENS,
BOTTOMS UP,
SONGS OF THE '70s,
ACTORS ONSTAGE,
BY ZEUS,
"""ROBERT""s",
"THE ""BE""GINNING",
ACTUAL POLICE BLOTTER REPORTS,
FACE TIME,
U.S. CITY NICKNAMES,
"LEFT, RIGHT & CENTER",
IT'S NOT MATT LAUER,
ANCIENT CIVILIZATIONS,
LITERARY TRILOGIES,
WORKING OVERTIME AT THE COMPANY,
STRINGED INSTRUMENTS,
"THE ""ND""",
FRENCH HISTORY,
NEW YORK CITY,
HOBBIES,
"""TOP""s",
MEN OF SCIENCE,
FLOWERS,
ANDREW JACKSON,
CLOTHING,
MUSICAL TERMS,
WOMEN'S FIRSTS,
SPELL THAT NAME,
SONGS OF THE '60s,
1946,
PLACES IN THE NEWS,
"""GRAND"" SLAM",
CARE TO DANCE?,
REAL LITERARY PARODIES,
IF YOU BUILD IT,
THEY WILL SING COME,
"MY ""SON"", THE PRESIDENT",
LANGUAGES OF THE WORLD,
BIBLICAL ROLES,
MASTERPIECES FROM THE NORTON SIMON MUSEUM,
POETS,
"WELL-PLAYED, WELL-PAID",
A STORIED FORECAST,
ONE LOVE,
"ONE ""HEART""",
LET'S GET TOGETHER,
& FEEL ALL RIGHT,
THE ART OF GEORGIA O'KEEFFE,
MILITARY ACADEMIES & COLLEGES,
OSCAR-WINNING SCREENPLAYS,
ON THE MARQUIS,
ARKANSAS,
YOU SPEAK FOREIGN?,
THE INTERNET,
SPACE SHUTTLE FLYOVERS,
30 MINUTES OF EXERCISE A DAY,
THE VOWELS ARE MYTHING,
THE GOOD,
"THE ""BAD""",
THE UGLY,
THE BEAR ESSENTIALS,
AMERICA BEFORE THE REVOLUTION,
HILLBILLY MUSIC,
TITLES & SUCH,
THAT VERB'S DARNED IRREGULR,
ICONIC PENTAMETER,
EUROPEAN CAPITALS,
GET YOUR KICKS,
"""C"" IN AMERICAN HISTORY",
GRAPE JAM,
STATE OF THE BOOK,
TRANSLATE THE LYRIC FROM LATIN,
ONE EXTRA LETTER,
1960s NEWSMAKERS,
CEREMONIES,
CHINA TOWNS,
GILBERT & SULLIVAN,
JEOPARDY! IN 3-D,
EUROPEAN LITERATURE,
A PASSAGE TO INDIANA,
GARDENING,
SUPER BOWL-WINNING COACHES,
HOMONYMS,
LET'S TWIST AGAIN,
LIKE WE DID LAST SUMMER,
SUE GRAFTON TEACHES THE ALPHABET,
"A ""MAD"" CATEGORY",
THE LAW,
THEIR BIBLICAL MAMAS,
CULTURE AROUND THE WORLD,
THE NEW YORK TIMES MOVIE REVIEWS,
INTERNET FIRSTS,
STATE YOUR BUSINESS,
THE WORLD OF DR. SEUSS,
A TREASURE TROVE,
ABBREVIATED VIDEO GAME TITLES,
WORDPLAY GRAB BAG,
INDEPENDENCE SEAPORT MUSEUM,
GONE WITH THE WIND,
"""RET-""",
BUTLER,
PARTING WORDS,
"FRANKLY, MY DEAR",
WE GIVE A DAM,
THE TUDORS,
BIBLICAL WHO'S WHO,
"LIGHTS, CAMERA, ACTION FILM!",
ANAGRAMMED SCHOOL SUBJECTS,
CARBONATION NATION,
LITERARY PRINCIPALS & TEACHERS,
AMPHIBIANS,
"THOSE ""R"" THE TOP 10 HITS",
OLD PAINT,
IT'S ALL POLITICS,
MORE VOWELS,
2013 NEWSMAKERS,
GOING EMILY POST&#8209;AL,
NOVELS BY CHARACTER,
THAT'S TOTALLY HISTORICAL!,
THE RACE IS TO THE STRONG,
YOUR MYTHIC ABCs,
TEACHING THE TEACHERS,
QUOTABLE QUOTES,
VOLCANOES,
ACTORS PLAYING WRITERS,
"CROSSWORD CLUES ""F""",
HISTORIC OBJECTS,
THE RIGHT TOOL,
"YES, NOVEMBER!",
TALKIN' MATH,
TEACH THE RHYME,
"T.P., YOUR HOUSE",
BRITISH POETS,
TV SHOWS BY NERD,
AN EPONYMOUS CATEGORY,
JOURNALISTS,
THE YEAR 1713,
"""A"" IN GEOGRAPHY",
COLOR TV,
CANADIAN GEOGRAPHY,
U.S. HISTORY: THE FIRST 100 YEARS,
FROM THE BRITISH MONARCHY'S WEBSITE,
SPANISH CLASS,
AN APP FOR TEACHER,
PLANT SCIENCE,
I RESIGN!,
"SHAKESPEAREAN DIALOGUE, HO!",
POP GOES THE MUSIC,
"IT ENDS WITH ""U""",
ON HIS PRESIDENCY'S SECRET SERVICE,
RAP STAGE NAMES,
UNIFORMS,
TEACHERS' LOUNGE CUISINE,
THE ONION DESCRIBES THE COUNTRY,
NOTED PERSONALITIES IN THE WORLD ALMANAC,
READING THE DETECTIVES,
GIVE US 2 C's &&nbsp;AN&nbsp;A,
DISEASES,
RAID!,
THE LENGTH OF THE MOVIE,
PLAY CHARACTERS,
DINOSAUR NAMES,
ALL ABOUT ALGERIA,
FAMOUS FORMER TEACHERS,
LAW,
CLASSIC AUTOMOBILE TAGS,
RANDOM HOUSE DICTIONARY DEFINITIONS,
WE'LL TEACH YOU A FEW THINGS,
TYPES OF MUSICAL INSTRUMENT,
CHARTER SCHOOL,
BROADWAY SHOWS BY CHARACTER,
"""E-Z-A""",
GEOGRAPHY CLASS,
STAR BUCKS,
"TIME""LY"" WORDS",
THE KOREAN WAR,
USER NAME,
PASSWORD,
LITERARY OPENINGS,
EARTH BLANKS,
AP FEMALE ATHLETE OF THE YEAR,
THE SHORT VERSION,
THE GUGGENHEIM MUSEUM,
COUNTRY NAMES,
LITERARY TITLE COLORS,
ALSO A BOWLING TERM,
HOLY DAYS & OBSERVANCES,
HOOK,
LINE,
STINKER,
AFRICAN LEADERS,
STARTS & ENDS WITH A VOWEL,
STATE SHAPES,
#NAME?,
THE ____ OF ____,
WHICH DIRECTION?,
WE'RE HAVING A BARBECUE,
"PLEASE, NOT CHAPTER 11",
YOU'RE SO VAGUE,
YOU PROBABLY THINK THIS SONG IS ABOUT YOU,
PERIODIC TABLE FOR 5,
MYTHING PERSONS,
NOW THAT'S COMEDY,
"A TIP O' THE ""HUN""",
MILITARY GOVERNORS,
NATIONALITEASE,
YOU FLOOR ME!,
SEND IN THE MARINES,
"""N"" THE ATLAS",
CONTROL,
ALT,
DELETE,
1963,
THERE'S NO PLACE LIKE DOME,
GUARDS,
"FILE UNDER ""Q""",
LITERARY QUOTES,
SCIENTIFIC EUROPEAN,
SECRET SERVICE CODE NAMES,
LAWYERING UP ON TV,
GORILLAS,
1930s ENGINEERING FEATS,
THINGS THAT ARE ROUND,
"TIME TO END IT ""ALL""",
POETIC WOMEN,
"A MATTER OF ""LIFE"" OR ""DEATH""",
BITTER,
LET'S ROCK!,
FLORENCE,
THE MACHINE,
COUNTRIES FOR SHORT,
NEW YORKERS,
BEASTLY TITLE CHARACTERS,
A DROP IN WHICH OCEAN?,
"CROSSWORD CLUES ""P""",
HISTORY OF CARS,
ALL THE JINGLE LADIES,
IT'S BEEN A YEAR,
13-LETTER WORDS,
FLAG TERMS,
MYTHOLOGICAL CREATURES,
OLYMPIC CITY ATTRACTIONS,
FUN WITH ACRONYMS,
WHAT'S MY AIRLINE?,
YOUR NAME IS PERFECT,
LANGUAGES OF AFRICA,
PUPPIES & PETUNIAS,
SHAKESPEAREAN RELATIVES,
"""-UP""",
& ATOM,
18th CENTURY AMERICA,
FLYERS & FLYING,
CALIFORNIA FOOD FESTIVALS,
HIGH-SCORING SCRABBLE WORDS,
LOCO FOR LOGOS,
"""HAPPY"" HOUR",
GENEALOGY,
GREEK ISLANDS,
BIOGRAPHY SUBJECTS,
MOVIE COMEDY,
"""CO"" DEPENDENT",
"GRIMM, GRIM",
NATIONAL MEMORIALS,
DYLAN SONGS IN OTHER WORDS,
ROMAN ARCHITECTURE TERMS,
PORTRAITS IN HISTORY,
GUESS WHAT I'VE GOT?,
"""O-M-G""!",
WRITERS IN PRISON,
WHICH CABLE NETWORK?,
GEOGRAPHIC NAME CHANGES,
STANDARD TIME DIFFERENCES,
TAKE A WALK ON THE MILD SIDE,
NONPROFIT ORGANIZATIONS,
LORD OF THE RINKS,
THE PRESIDENT'S ALMA MATER,
POKER HANDS,
WHEN PIGS FRY,
"THE ""CLASS"" STRUGGLE",
HEARING-IMPAIRED PEOPLE,
AFRODISNEYAC,
PLAY THAT FIDDLE,
MY WORKDAY WAS TORTURE,
BREAKAWAY NATIONS,
BESTSELLERS OF THE 13th CENTURY,
M TO M,
THE TITANIC,
FLOWERS AROUND THE WORLD,
I'D LIKE A SOFT DRINK,
STATE THE SENATOR,
6-LETTER ANAGRAMS,
REALITY TV,
THAT LITERARY TITLE GUY IS UP TO SOMETHING,
ASTRONOMY,
LESSER-KNOWN NAMES,
SINGERS IN TOON,
LANDLOCKED COUNTRY FUN,
30 YEARS,
"I'M READY FOR ""MOR""",
16th CENTURY PEOPLE,
THE REALLY OLD COLLEGE TRY,
IT BORDERS TENNESSEE,
LIQUIDS,
SPORTS SIBLINGS,
THE MAYO CLINIC SAYS...,
BATTLE NATIONS,
SPECIAL 2 Ks,
MARKS,
ANGELS,
"GUYS, CAPITALISM WORKS!",
AMERICAN THEATER,
WORD PUZZLES,
1970s NO. 1 HITS,
DESCRIBING THE ANIMAL,
TEEING OFF,
CHIPPING IN,
LET'S PLAY SOME GULF,
SAME NAME AS A STATE CAPITAL,
LITERARY BYWAYS,
DURING LOU GEHRIG'S CONSECUTIVE GAME STREAK,
RECENT MOVIE QUOTES,
BRIT FOOD,
"AT THE ""N""",
GOVERNMENT SITES,
SOAP,
DAYTIME DRAMAS,
FICTIONAL CHARACTERS,
GEMS & JEWELS,
STATE SEALS,
THE BONAPARTE FAMILY,
COWBOY LIFE,
FURNITURE,
BIRDS,
SCHEMES,
RELIGIOUS GROUPS,
FINDING MY INNER SCOT,
WARS BY BATTLE,
THINGS THAT ARE YELLOW,
MOVIES & POLITICS,
WHAT A LITERARY CHARACTER!,
"""-LY"" WORDS THAT AREN'T ADVERBS",
EUROPEAN FOUNTAINS,
THE NAME OF THE ROSE,
LOANWORDS BY LANGUAGE,
"I GOT A ""FEVER""",
WOMEN,
MISSPELLED BANDS,
THE BRITISH GOVERNMENT,
THE MIDDLE AGES,
SCARY MOVIES,
DICTIONARY ABBREVIATIONS,
THE SWIMSUIT EDITION,
FAMOUS QUOTES,
FRATERNITIES & SORORITIES,
THE TOP 40 A TO Z,
HEALTH & NUTRITION,
MISSING LINKS,
BLACK & WHITE & READ,
ALL OVER,
KINGS OF ENGLAND NOT BORN IN ENGLAND,
NFL STADIUMS,
INVENTORS & INVENTIONS,
"HEY, ""PAL""",
MATH PROBLEMS,
CAN'T STOP MESSIN' WITH TEXAS,
COMEDIC ACTRESSES,
COMPLETES THE FILM TITLE,
LOUISIANA,
TEXTILES,
"GO TO ""H""",
ARCHAEOLOGY,
MONTHS,
19th C. AMERICANS,
OLD TESTAMENT,
AFTER THE WHITE HOUSE,
"DOUBLE S, DOUBLED",
A MONTH OF ANNUAL EVENTS,
SHAKESPEAREAN SPELLING BEE,
I HAVE THE WINE,
BY JOHNNY CASH,Music & Theater
EPONYMOUS AIRPORTS,
IN THE NATIONAL PARK,
CANADIAN BODIES OF WATER,
"A ""CY"" OF RELIEF",
TCM'S 31 DAYS OF OSCAR,
INVENTORS,
PRE-'80s HISTORY,
"ON THE ""M""ENU",
BORN IN THE USA,
PERSONAL SPACE INVADERS,
VALLEY GIRL SPEAK,
WORLD LITERATURE,
ALSO A TYPE OF FOOTWEAR,
"""S""ITIES",Geography
LATIN,
OTHER GREAT DECADES,
BOOK COVERS,
OF OREGON ORIGIN,
JOHN HUGHES MOVIES,
BUSINESS & THE MARKET,
THIS IS THE END,
"WHERE ""U"" GOIN'?",
TV CHARACTERS,
RUN EMC,
SURREALISM,
CLARINETS & SEAFOOD,
20th CENTURY WOMEN AUTHORS,
ROCK GROUPS,
1990,
THE HISTORY OF HAIR,
ANAGRAMS,
ASIAN HISTORY,
WE LOVE PLANET EARTH,
IN THE CITY'S NEWSPAPER,
SAINTS PRESERVE US!,
"""F""IVE-LETTER WORDS",
2 FIRST NAMES,
LIKE HENRY JAMES?,
19th CENTURY OPERA,
BACK IN THE USSR,
STARTS & ENDS WITH THE SAME VOWEL,
'80s BABIES,
CINEMA OF MY YOUTH,
I'M HEADING TO...,
THE PERIODIC TABLE,
GRANDSON OF WOOD,
THE COUNTRY DUE SOUTH,
"BOOM ""BOX""",
J.S. BACH,
GOLDBERG VARIATIONS,
CIVIL WAR GENERALS,
2-LETTER SPELLING,
IN THE COURTROOM,
RHYMING SONG TITLES,
BRITISH POETS & POETRY,
RARE BREEDS,
MYTH DIAGNOSIS,
STOCK SYMBOLS,
ARCHIPELAGOS,
THE T IS SILENT,
'80s ACTORS & ROLES,
1980s BOOKS,
PHYSICS,
FIRST LADIES' FATHERS,
"""DUM"" IT UP",
NO LONGER AROUND,
SONG OF THE YEAR,
WORLD POLITICS,
NOVELS BY QUOTE,
BACKING BANDS,
NAMES IN NATURE,
CAL TECH,
OTHER COLLEGES,
"""ACA""DEMIA",
FAMOUS HOMES,
"""D"" PLUS",
THERE'S ALWAYS NEXT TERM,
HARD TO DEFINE,
RECENT TV,
JUST A WORD BEFORE GOING,
MINI,
HA HA,
KING ME,
"""S""PORTS TALK",
19th CENTURY BOOKS & AUTHORS,
OCCUPATIONS,
BIOLOGY CLASS,
PRIME NUMBERS,
STUDENT AID,
THE HARVARD BOOK STORE TOP 100,
HAIL TO THE CHIEF,
TIME MANAGEMENT,
SHARP THINGS,
"GETTING YOUR ""M-B-A""",
KENYA WEST,
NO DISRESPECT TO BEN AFFLECK,
BIBLE CHARACTERS,
LET'S BEGIN THE LECTURE,
NAME THE CARMAKER,
HISTORIC AMERICANS,
CANDY CRUSH,
VIDEO GAME VAULT,
"THE OLD COLLEGE ""-TRY""",
NAME THE SHAKESPEARE PLAY,
STATE GOVERNORS,
A (TAYLOR) SWIFT CATEGORY,
IN THE DICTONARY,
WHAT'S YOUR RANGE?,
HISTORIC PLACES,
THE STAGE,
COLLEGE FOOTBALL,
ONLINE & TEXT ABBREVIATIONS,
ADMISSIONS,
"""GR""AD SCHOOL",
THE TOPIC IS MICROSCOPIC,
GETTING SCHOOLED ON TV,
"THE ""EX"" FACTOR",
WHERE WERE YOU & WHEN?,
RUNNING HOT & COLD,
"GETTING A ""D"" IN COLLEGE",
THE 1850s,
FRENCH MENU,
FACIAL HAIR,
IN OTHER WORDS...,
AMERICAN INDIANS,
WORDS,
SHAKESPEARE'S WOMEN,
BILLIONAIRES,
COLLEGE TOWNS,
NON-NAUGHTY WORDS,
STUDENT HEALTH CENTER,
OLYMPIC GOLD,
"""U.S."", EH",
"THOMAS, WRITE?",
WEATHER VERBS,
INTERNATIONAL CINEMA SHOWCASE,
TALK NERDY TO ME,
KIWI FAUNA,
AFRICAN-AMERICAN HISTORY,
19th CENTURY NAMES,
A GREEK MYTHTAKE,
ANAGRAM PAIRS,
OTHER LONE STAR FLAGS,
THAT DRESS NEEDS SOMETHING,
COMING UP IN 2014,
CELEBRITIES & THE LAW,
INSIDE ART,
COUNTRY MATH,
MOM & DAD'S DATE MOVIES,
BRITISH LITERATURE,
A SPAIN IN THE BODY PART,
DORM ROOM CHECKLIST,
RECENTLY BANNED OR CHALLENGED BOOKS,
STATE LINES,
"""FOR"" WORDS & ""BACK"" WORDS",
THE MOVIE SUPERHERO WHO...,
SORORITY SISTERS,
ISLANDS OF THE PACIFIC,
SCIENCE IN THE WORLD,
21st CENTURY MUSIC,
CIVIL WAR SLANG,
SHAKESPEARE CHARACTERS,
COLD-BLOODED KILLERS,
6-SYLLABLE WORDS,
"TEACHING ""ASSISTANT""",
FEMALE FANTASY CHARACTERS,
IT TAKES 2,
CELEBRITIES' MIDDLE NAMES,
PIER REVIEWS,
JUST ONE VOWEL,
AGES & AGES,
HIP-HOPPERS,
SOCIAL LIFE,
CARNIVAL KNOWLEDGE,
NO COOKING REQUIRED,
GLOBAL STUDIES,
"""H""OMONYMS",
MONEY TALKS,
JOHNNY GILBERT PERFORMS TODAY'S HITS,
FICTIONAL COLLEGES & UNIVERSITIES,
PUT IT THERE,
WHAT'S YOUR MAJOR?,
COUPLING ON TV,
"""ONY"" BALONEY",
FIGURING OUT THE UNIVERSE,
THE BRITISH EMPIRE,
PLANET FILL-IN,
DON'T SONGS,
GROUP NAMES OF ANIMALS,
COMIC STRIPS IN OTHER WORDS,
WHAT DO I STAND FOR?,
THE NATIONAL MUSEUM OF AMERICAN HISTORY,
WRITERS HATIN' ON WRITERS,
OSCAR BEST PICTURE PARTIAL MARQUEES,
ASIAN CAPITALS,
A PROPER BRITISH BURIAL,
"""BED""",
BREAKFAST,
19th CENTURY PEOPLE,
STARTS WITH A MUSICAL INSTRUMENT,
WOLF POTPOURRI,
U.N. COUNTRY ABBREVIATIONS,
LADIES WHO LUNGE,
OUT IN THE BACKYARD,
HISTORIC CARS,
2013 BESTSELLERS,
OBSERVATORIES,
MOVIE MUSICALS BY SONGS,
NET ADVERTISING,
LIFE OF RILEY,
"BACK IN THE 6-""T""s",
BUSINESS,
TOY STORY,
A BUG'S LIFE,
THE INCREDIBLES,
UP,
BRAVE,
"PIX-""R""",
POLITICAL CONVENTION KEYNOTERS,
LITERARY DOCTORS,
"""PHIL""-OSOPHY",
PEAS ON EARTH,
SINGERS,
CELEBRITY VETERANS,
THE COOKIE AISLE,
STATE BY COUNTIES,
ACTUAL 911 CALLS,
RUSSIAN TO JUDGMENT,
"LEADER OF THE ""PACK""",
RIP VAN WINKLE,
PHOTOGRAPHY,
WHO SANG IT FIRST?,
SPEECH,
MODERN DAY SUFFIXES,
ROLE IN COMMON,
"ON THE ""GO""",
THE 90s,
DOT COM,
BOOM!,
2014 ANNIVERSARIES,
THE LAST CENTURY,
1990s NO. 1 HITS,
"CRYPTIC CROSSWORD CLUES ""L""",
PRESIDENTS,
1990s FICTION,
BROADWAY MUSICALS BY SONGS,
PALINDROMIC WORDS,
PARTY,
LIKE IT'S 1998,
THE SONNET,
SCIENCE TIMELINE,
DISNEY SIDEKICKS,
ALL AROUND AMERICA,
"AS ""IF""!",
BORDERS,
BILL CLINTON,
HOLIDAYS,
"""HANG"" FIVE",
LOGOS,
THE FIRST INSTRUMENT HEARD,
"CARSON, DAILY",
IN A FRENCH KITCHEN,
THAT MOVIE'S GENIUS,
"AT""LAS"" OF THE WORLD",
BRITISH AUTHORS,
MAKE A FAMOUS PHRASE,
4-LETTER WORDS,
WHOSE SONG?,
INTERNAL FLUIDITY,
ON THE BOOKSHELF,
IT WAS THE '90s,
"ODDS & END""Z""",
WELCOME TO THE JUTE MILL,
1990s TV SHOWS,
BIBLICAL LETTERS,
CONSIDER THAT A DIVORCE,
ISLANDS IN THE STREAM,
PULITZER PRIZE-WINNING AUTHORS,
OPRAH'S BOOK CLUB,
THE 2-DOORS,
"THE WORLD WIDE ""WEB""",
ALL SORTS OF SPORTS,
THE NEW YORK TIMES:  THE 1990s,
HAIL TO THE CHEF,
ASIAN GEOGRAPHY,
MOVIE SONGS,
CAUSES & EFFECTS,
TELL US WHAT HE'S WON!,
BIBLICAL NAMES,
TV CHARACTER ALIASES,
AUTOMAKERS,
"""G.M.""",
FORD,
DETROIT ROCKS!,
BIBLICAL ART,
ELEPHANT HODGEPODGE,
FILMED IN HAWAII,
TREE WORDS,
FRENCH LIT,
PERIODIC SPELLING,
CONTEMPORARIES,
BILLIARDS SHOTS,
CELEBS CELEBRATING,
"OH, ""SNAP""",
CLOSE QUARTERS,
PONY EXPRESSIONS,
BASEBALL TEAMS,
MORE THAN ONE MEANING,
REVOLUTIONARY COUNTRIES,
"""P""SCIENTISTS",
ACTORS & OSCARS,
NEW MUSICAL SUPERGROUPS,
MISCELLANEOUS,
"EAR, NOSE OR THROAT",
AIRPORT CODES,
THE TWO-THOUSAND YEAR OLD MAN,
LITERARY SEQUELS,
I'LL BE YOUR TV WAITRESS,
"WE ""BEG"" TO DIFFER",
LET'S PLAY BRIDGE,
A BIRD IN THE HAND,
2 IN THE BUSH,
TED TALKS,
QUICK LIT,
RHYME PAYS,
THEIR FIRST SOLO ALBUM,
THE FRENCH,
A FUNNY RACE,
STATE SONGS,
CELEBRITY RELATIVES,
POTTERY,
PARTY ON!,
"THE ""BLACK""LIST",
MEANINGS OF GEOGRAPHIC NAMES,
TEAM PLAYERS,
KIDDY LIT TITLE ADJECTIVES,
LEGEND,
WAIT FOR IT!,
"""-ARY""",
INVESTING,
MOVIE QUOTES,
"STARTS & ENDS WITH ""S""",
OXIDES,
THE MUSIC INDUSTRY,
"GEOGRAPH""E""",
TV NOSTALGIA,
MOTHERHOOD,
TECHNOLOGY,
EPONYMS,
1959,
BIBLICAL PEOPLE,
PENNSYLVANIA,
QUOTES,
CAMPING,
MAPS,
TENSE,
GRAIL MIX,
FOREST KNOWLEDGE,
"INSECT, REPELLENT",
AMERICAN ART & ARTISTS,
CHEESY NAMES,
RECENT NONFICTION,
THE CHUCK WAGON,
CITY SEALS,
"DOUBLE ""Z""",
HISTORICAL NICKNAMES,
5-LETTER MAMMALS,
TV TITLE PAIRS,
THE DECLARATION OF INDEPENDENCE,
HANDLING SOME T-N-T,
FOOTPRINTS,
IN THE SAND,
THE STATE HOLDING THE FORT,
WE'VE GOT CHEMISTRY,
ADVERBS,
CONSERVATIVE READING LIST,
BLOWING MY MIND,
PLAYING BONNAROO,
OSCAR NOMINATIONS,
"THE ""AUGHT""S",
BRAND NAMES,
CABLE NETWORKS,
I STAND BEFORE THE COUNTRY,
KING JAMES BIBLE QUOTES,
WORLD NEWSPAPERS,
MANKIEWICZES AT THE MOVIES,
TRIPLE RHYME TIME,
CERN,
ACCESSORIES,
NBA FINALS MVPs,
RETRONYMS,
"A LITERARY ""B""",
2001,
A SPACE ODDITY,
ANIMALS IN MYTHOLOGY,
"RING ""TONE""s",
IT HAPPENED IN THE PAST,
BIG-SCREEN GENDER BENDERS,
MIDDLE EAST GEOGRAPHY,
ELEVEN,
LITERATURE & OPERA,
NEW IN THE 2000s,
AMERICAN IDYLL,
TWEETING,
LOCAL FOOD MOVEMENT,
BINGE WATCHING,
"""SELF-E""s",
WOMEN ON U.S. STAMPS,
POP QUIZ,
MOUNTAIN RANGES,
19th CENTURY ART & ARTISTS,
LITERARY TITLES,
SAME FIRST & LAST 2 LETTERS,
MONARCHS,
VIENNA CALLING,
STRUCTURES,
COMPUTER ABBREVIATIONS,
21st CENTURY BOOKS,
CELEBRITY REALITY TV,
"WHAT A ""GAL""",
SCIENTIST SAYS,
AFRICAN SETTINGS,
BALLET BELLES,
VIDEO GAMES,
THE AGE OF THE ROBBER BARONS,
"""V"" IS IN THE MIDDLE",
20th CENTURY NOVEL QUOTES,
THE LONG & THE SHORT OF IT,
FAIRLY RECENT NEWS,
PHILOSOPHERS,
MUSIC OF THE 2000s,
OUR OLD PAL WATSON,
ISOTOPES,
EARLY AMERICAN HISTORY,
I'M JUST PLUM CRAZY!,
IN THE BOOKSTORE,
